ARULHT14XXXXXXXXXX,Sir Neville Marriner
ARJ6VQ21187B98BC8A,Charles Mingus
ARWT91C1187B9ACEAA,Neil Young
ARYECDK1187FB45587,The Stranglers
ARD0FN11187B9B25CD,Bobby Darin
ARJ7SQ31187B9AF432,Billy Bragg
ARR3ONV1187B9A2F59,Muse
ARXK8ML1187FB3DA91,Brownie McGhee
AR0BV7E1187FB386C1,Lee Ritenour
ARKC83D1187B9AB367,Mark Lowry
ARXFMP01187FB40768,Carl Perkins
AR1CB5G1187B9AFB8E,Electric Light Orchestra
ARML8X41187B990644,Simple Minds
AR1R15M1187B9AEB0D,Spiritualized
ARDN91R1187FB45469,Simon Harris
ARF0W6Z1187B9AC325,Cradle Of Filth
AROCBZZ11E2835D652,Small Faces
ARZC45S1187FB3F374,Kansas
AR4KS8C1187FB4CF3D,Tori Amos
ARFFDZU1187FB50682,Alan Silvestri
ARK9TRQ1187B99C095,Nine Inch Nails
ARLGIX31187B9AE9A0,Jay-Z
ARULHT13XXXXXXXXXX,London Symphony Orchestra
ARULHT1569XXXXXXXX,Madonna
ARB1DDF1187FB4FCFB,Louis Armstrong
ARLAUED1187B9ACEAF,Eric Clapton
ARP061U1187FB4D572,Alphaville
AR6PJ8R1187FB5AD70,Shakira
AR6XPWV1187B9ADAEB,Foo Fighters
ARAPI451187B9B6E6F,John Michael Talbot
ARFWL8S1187B9B4B44,Céline Dion
ARO4NIA1187B9B8289,Julie London
AROQSCE1187B99F0FC,John Denver
ARV1YI11187B9ADC35,Diomedes Diaz
ARZVTZN1187FB579D4,Jim Reeves
ARZYQYM1242077E717,Ike & Tina Turner
ARULHT133XXXXXXXXX,Sir Thomas Beecham
ARULHT198XXXXXXXXX,Philharmonia Orchestra
ARB054P1187B9AD32E,Santana
ARODBRG1187FB3FD99,Nick Cave & The Bad Seeds
AR6FIPL1187FB4D5AA,Pulp
ARS86AJ1187B9B4225,Janis Joplin
ARWDGTH1187FB4BD33,Spinners
AR4ZNBW1187FB554B8,Tony Bennett
ARA60941187B9AD4A3,Pet Shop Boys
ARAIABB1187B9AC6E2,Seal
AR10V391187B9956D5,Panpipes
AR9I7HA1187B9B7368,Leadbelly
ARMBTFC1187FB56343,Korn
ARULHT142XXXXXXXXX,Tammy Wynette
ARULHT543XXXXXXXXX,Yo-Yo Ma
AR7AE0W1187B98E40E,Intocable
ARVL4NX1187B998181,Chet Baker
AROJ1CH1187B9AE4F8,Genesis
ARW2AMZ1187FB381AC,Wilson Pickett
ARULHT15XXXXXXXXXX,Academy of St Martin-in-the-Fields
AR4VT3E1187FB570BB,Cher
ARULHT259XXXXXXXXX,Lil Wayne
AR1CD5Z1187B98F2C2,Pat Metheny
AR1RMYB1187FB5A59E,Incubus
ARAPH9U1187B9B34F0,Randy Travis
ARASYMJ1187B9ACAF2,Whitesnake
ARDJZ181187B9B7FBF,Sly & The Family Stone
ARMWCRO1187B9B1705,Kidz Bop Kids
ARN69L01187B99DFFA,Burl Ives
ARRZUPG11F43A69EF7,Jackson 5
AR559L61187FB3F95F,Johnny Winter
AR6LKUT1187FB57287,Bee Gees
ARG8DXO1187B9AF743,Less Than Jake
ARH3S5S1187FB4F76B,Nirvana
ARISHTQ1187FB3E6F0,Ben E. King
ARN5NHX1187FB4F755,The Smashing Pumpkins
ARNHHIV1187FB4EA23,New Order
ARNLO5S1187B9B80CC,Van Halen
ARWZ9W91187B9B2B29,Black Sabbath
AR8DTVF1187B9AA292,Ozzy Osbourne
ARFVYJI1187B9B8E13,Pearl Jam
ARH1LE01187B98D68D,John Debney
AROF4LP1187FB41C51,Selena
ARTQ8QP1187FB3D220,Leonard Cohen
ARUFTTR1187FB3A4B0,Newsboys
ARVZDOM1187B9B49C9,Barry Manilow
AR06EB01187FB40150,NOFX
ARBFQ7L1187B9ACD48,The Velvet Underground
ARDEBMB1187B9B7CBA,Ultravox
ARIFGKC1187B9B04D5,Dean Martin
ARJIE2Y1187B994AB7,Line Renaud
ARMPRI31187FB4F7D9,Vangelis
ARSG7NQ1187FB57482,Fall Out Boy
ARXGOFQ1187FB4E311,Eddy Grant
AR223M11187B9ADDD6,Marty Robbins
AR46CAD1187FB4D84B,Bad Religion
AR65K7A1187FB4DAA4,Beyoncé
AR949HL1187B98FAB5,Cab Calloway
ARBUOOR1187B997391,Oasis
ARVT7941187B9AEB48,Barry White
ARWX5TK1187FB4CDBE,The Who
ARZJ4MI1187B9AF5AF,Reel Big Fish
AR212SC1187FB4A4F9,Motörhead
AR7HM181187FB3CFC1,Nitty Gritty Dirt Band
AR87K371187FB5AA8E,Uriah Heep
ARMDWND1187B9AEBE2,Black Uhuru
AROY6XW1187B991121,Steve Vai
ARRJES71187FB4D09E,Bryan Adams
AR6BHP31187FB365E1,Sonny Terry
AR7Y6JX1187FB4D9B3,Bad Brains
ARC0MTS1187FB44C21,Toots Thielemans
ARHLT3W1187FB5711F,Sepultura
ARHZCG01187B99E4DE,Stanley Clarke
ARI648V1187B9B5379,Michael Stanley Band
ARIOZCU1187FB3A3DC,JOHN COLTRANE
ARKU3Z61187FB51DCA,Rihanna
ARPAB1I1187B9AD8E4,The Everly Brothers
ARSAIUN1187FB398D3,Creedence Clearwater Revival
ARULHT365XXXXXXXXX,Redman
AR02IU11187FB513F2,Tito Puente
ARA3I0J1187FB57869,Blink-182
ARMI36C1187B99A462,Duke Ellington
ARUP0001187FB39B04,Jefferson Airplane
ARZENOX1187B98A645,John Mayer
AR633SY1187B9AC3B9,Weezer
ARLKW7S1187FB3D889,Count Basie
AROHGM71187B98ED9E,Kim Weston
ARAPFN61187B990019,Otis Redding
ARFSZXM1187FB5A941,Roy Orbison
ARGEZ5E1187FB56F38,Audio Adrenaline
ARI4S0E1187B9B06C0,David Arkenstone
ARJGIOD1187B9AE920,Kelly Clarkson
ARUGAPO1187B9B21DB,Howlin' Wolf
ARYMCJZ1187FB513DA,Of Montreal
AR13CXU1187B9AD30A,The Clash
AR1G3G71187B98FE83,The Ventures
AR4PQ891187FB5CA9F,Dionne Warwick
AR6LZB61187B9AF431,Depeche Mode
AR83G9J1187FB3C094,Kenny Loggins
ARB29H41187B98F0EF,Terry Callier
ARDGES11187B9B7DDF,Roxy Music
ARGQL2Q1187B9B0149,Sean Paul
ARKETDZ1187B9B2566,Marlene Dietrich
ARLIQ281187FB3DC05,Squarepusher
ARLKYO81187B9AB46B,Scottish Chamber Orchestra
ARPGS671187B996060,McCoy Tyner
ART5MUE1187B98C961,Metallica
ARVLH5W1187FB58B7F,Harry Nilsson
ARXUG3L1187B9A8DBC,Earl Klugh
ARYD8SQ1187FB3DC4A,Randy Crawford
ARULHT362XXXXXXXXX,50 Cent
ARULHT851XXXXXXXXX,PJ Harvey
AR0XSOO1187B9B9E88,Buzzcocks
AR93RTI1187B98ECFB,Mance Lipscomb
ARBOG0H1187B99F775,MxPx
ARD5SR21187B9B5F4A,Irwin Goodman
ARJN76O1187FB43C99,Ana Belén
ARMI8BW1187FB57B2E,Kiss
AR2DGPY1187FB4CECF,The Beach Boys
AR3SPD91187B9B63E3,Héroes del Silencio
AR8L6W21187B9AD317,Diana Ross
ARBOEDU123E26703BA,Varios
ARCBD0U1187FB466EF,Nelly
ARD4C1I1187FB4B0C3,Pink Floyd
ARDW1CO1187B9AD318,They Might Be Giants
ARGEJ8B1187B9AE2E7,Manic Street Preachers
ARH04B41187FB59158,Dan Fogelberg
ARHAO311187FB3E38E,Thin Lizzy
ARHL8SP1187B98F8A3,Sick Of It All
ARIK43K1187B9AE54C,Lionel Richie
ARMNDIJ1187B9A09EA,Marian McPartland
ARMR44C1187FB433D2,Penguin Café Orchestra
ARNA0AZ1187B9AE478,Gene Ammons
ARQUMH41187B9AF699,Linkin Park
ARRDLVE1187FB48F11,James Brown
ARUP17W1187B98CAB9,Charlie Byrd
ARX5KSY1187FB3CBDC,Perry Como
AR58JT11187B9AF4CC,Carpenters
AR6T61M1187B9A952F,Moby
AR7GOK91187FB455F5,Jean-Jacques Goldman
ARCBIPV1187B9AC2D1,The Cranberries
ARD3LXU1187B9ABFC5,Sex Pistols
ARIZODP1187B9AD272,Bryan Ferry
AROJD751187B9915BA,Zoegirl
ARTHWIZ1187FB4258D,Frank Ifield
ARVFEPG122988F83AE,Leonard Bernstein
ARXYVR61187B9A8E41,Biohazard
AR3GAWW1187B9AD462,Sonic Youth
AR426001187FB3F2A1,Sam & Dave
AR4EUFM1187B99592B,Chicago
AR9AWNF1187B9AB0B4,Kenny G
AR9JFI61187B98BA46,Der Blutharsch
ARD2NDU1187B99B615,Dropkick Murphys
ARDK87R1187B98D51C,Flamin' Groovies
ARDVZTE1187FB5A0A1,Bon Jovi
AREMEW61187B9B62DD,Cheap Trick
ARENMIP1187FB5638D,Robbie Williams
AREQIT21187B9AEB7F,Dusty Springfield
ARJ4B7V1187FB4CB90,DJ Godfather
ARLO2801187FB3CBF5,Carmen McRae
ARNAQSX1187B9ADBE4,Van Morrison
ARR1CN21187FB36BD6,Fats Waller
ARSX6IX1187B9B640C,Big Star
ARV8T9T1187B99F3F4,Amorphis
AR3FKJ61187B990357,David Sanborn
ARC70XM1187FB4D5B0,Free
ARDIBRT1187B9AF176,Led Zeppelin
AREGV3K1187B9AF614,Mötley Crüe
ARHTAPO1187FB5AADE,Iron Maiden
ARJFNSC1187B9939BD,Saint Etienne
ARMPQIE1187FB3D4EB,Bounty Killer
ARUPWVD1187FB4DA36,Badly Drawn Boy
ARVELV01187FB42126,Tears For Fears
AR4B3RX1187B9A868A,Alexandre Desplat
AR594TJ1187B9A2220,The Meters
AR69GGX1187B98E1F7,Hombres G
AR914BW1187FB45A1B,Morrissey
ARAOQ5T1187FB435AB,Björk
ARCCN681187B9AFD73,Melanie
ARCNOK81187B98CA3F,Buju Banton
ARE3DMW1187B99C594,Chick Corea
ARID75M1187B9B8341,Steve Green
ARJ1K7W1187FB3C1EB,Canned Heat
ARKZXSQ1187B9AC9F3,Joy Division
ARMR7HO1187FB462CB,Emerson_ Lake & Palmer
ARVB14J1187B992457,Jump5
ARWILYB1187FB37DFE,Bananarama
ARXPE8V1187B99AEC9,Deep Purple
ARULHT396XXXXXXXXX,Natalie Cole
ARULHT514XXXXXXXXX,King Curtis
ARULHT1963XXXXXXXX,Porcupine Tree
AR2MSUY1187B9B4602,Muddy Waters
AR6M65W1187FB3611E,Donovan
ARE0WH81187B9A7BA3,Rufus Wainwright
ARE9R6I1187B98EA09,Mark Knopfler
ARGBE8R1187FB4D4FA,Armored Saint
ARIZ6AI1187FB5197C,Overkill
ARLPOTR1187B9AD78D,Carole King
ARNDCWP1187B9AFE26,Glenn Miller
ARPC1EC1187B99CEA0,Smokie
ARPC1IG1187B9B2875,Yes
ARPKK761187FB4D53C,The Ataris
ARQFUGM1187FB3E24E,Black Label Society
ARQXK0B1187B9ACC97,Joni Mitchell
ARUN2OO1187B9A7BF3,Sting
ARV41PG1187FB4E2BD,Andrew Bird
ARZER7I1187FB385AF,Dr. Dre
ARZQ7QA1187B9AD08B,Prince
AR0IHC91187B9B1347,Murray Perahia
AR1N3PB1187B9B25C1,Andres Calamaro
AR9VCSR1187B9B879E,Emmylou Harris
ARK0VFZ1187FB4309B,Shirley Caesar
ARMIMHT1187B98F038,Teena Marie
ARYC2P31187B9B9AB7,Seguridad Social
ARZ79B31187FB4F562,Percy Sledge
ARULHT351XXXXXXXXX,New York Philharmonic
AR0JZZ01187B9B2C99,Napalm Death
AR2HXXS1187B9AF3E2,Jesus Jones
AR2R0MS1187B99F6A8,Tanya Tucker
AR6J5DI1187FB4CF6E,America
ARBJFGZ1228B7C5336,Los Traileros Del Norte
ARF84A41187B9A34E7,Rancid
ARGFFA01187B9A2D11,Pennywise
ARIMH3L1187B9B9178,The Psychedelic Furs
ARQ06GM1187B9B18AE,The Haunted
ARSW5F51187FB4CFC9,Alice In Chains
ARSZWK21187B9B26D7,The Lovin' Spoonful
ARZ5VKP1187FB3BB2F,Sister Sledge
ARZZ5ZR1187FB4D149,Air
AR3JMC51187B9AE49D,Backstreet Boys
AR4HL8H1187FB493DD,Scooter
ARABFU01187FB46712,STEVE CAMP
ARALUUG1187FB58696,Irma Thomas
ARDNQ0R1187B9BA1EF,Lonnie Johnson
ARDWS2V1187B99AED0,Mazz
ARF6C551187FB40741,Andy Williams
ARFIZ9G1187B9B8674,Charles Dutoit
ARFYKUO1187B98D941,Dream Theater
ARGEKDX1187FB3A5BF,Marcus Miller
ARHH0AJ1187B98FB49,Pepe Aguilar
ARKZJ301187FB521B2,Lily Allen
ARNNQ9E1187FB3C82F,Sizzla
ARSGQPA1187B9B5D5F,The Andrews Sisters
ARSHZBZ1187B98A445,Joe Bonamassa
ARVN9FZ1187FB393F1,Snow Patrol
ARW24PI1187B9A6126,Jewel
ARULHT101XXXXXXXXX,Tom Waits
ARULHT532XXXXXXXXX,T.I.
AR040JZ1187FB399A9,Sparks
AR0I3WK11A348EF8E0,Pepe Pinto
AR35E9F1187B9B4877,John Prine
AR3DYAD1187FB3964E,Chet Atkins
AR4GKTH1187FB4C8DE,Autechre
ARFOVF61187B9892CD,Enigma
ARGR7431187FB3F3FB,Jacques Higelin
ARHTHC01187B9B6D2A,Michael McDonald
ARIPXFO1187B9ACFF9,Erasure
ARMG34A1187FB548A8,Thomas Dolby
ARQCSP31187B9A17ED,Us3
ARTB3OO1187FB49BDA,Elton John
ARU19DA1187B9B4036,Fates Warning
ARZGTK71187B9AC7F5,Eels
AR0N7RH1187B9B7497,The Yardbirds
AR0WGXC1187B9AAC99,Slum Village
AR219DK1187FB4CEFC,ATB
AR6Y22I1187B9AF690,George Benson
AR9Q34X1187B9A28B6,Caedmon's Call
ARB0YWU1187FB37A96,Bob Baldwin
ARC4K2E1187B9B6FDA,Marilyn Manson
ARC8CQZ1187B98DECA,Jack Johnson
ARDRXUM1187FB4D131,311
ARDVSDB1187FB40D8A,The Paul Butterfield Blues Band
AREAEX91187B98DC01,Gaither Vocal Band
AREIN101187FB5A5FA,Nat King Cole
ARFMHB31187FB47644,Carbon Leaf
ARKAL321187B9AD4BE,The Gathering
ARL99WU1187B98FB1F,Skip James
ARSK10P1187B9B717C,Bobby McFerrin
ARTWVHL1187B9AF954,Leif Ove Andsnes
ARU1K2U1187FB48529,Freddie Hubbard
ARVFF0Y1187B9AC3CA,Pavement
ARVUN5F1187FB4CCC7,Beenie Man
ARW5R811187B98BC96,My Dying Bride
ARULHT118XXXXXXXXX,Shaggy
ARULHT810XXXXXXXXX,Itzhak Perlman
AR0PUDJ1187B9AE5A4,Daniel Barenboim
AR10KZ91187FB43B99,Young Buck
AR1UBH11187FB3643A,Don McLean
AR71A931187B99CDD9,Harry Gregson-Williams
AR8SRQ31187FB4D477,Ten Years After
AR9J2H81187B9B5253,Chic
ARB3NG41187FB38786,Tim Buckley
ARBB58Y1187B9B621B,Bill & Gloria Gaither
ARBQPXY1187B98D67B,Kris Kristofferson
ARC51DL1187B9A9FED,Deerhoof
ARCCRTI11F4C845308,White Heart
ARCECQ01187FB52B4A,Hybrid
ARE3PRA1187FB39AB7,Lucinda Williams
ARGETJ81187B9B4F2F,Son House
ARHPDEK1187B999256,Ozric Tentacles
ARJEHDD1187B9B3516,The Supremes
ARL3VGT1187FB40E8E,Los Fabulosos Cadillacs
ARM7YQQ1187B9A84E7,Blondie
ARNF13I1187FB562A5,Massive Attack
ARO2VQ61187FB4DFC8,Buddy Greco
ARSTKIT1187B9A37A8,Richard Thompson
ARTJPFN12086C13093,Ted Nugent
ARUI8651187B9ACF52,John Cale
ARYYI011187FB3605B,Tavares
AR01VU31187B997DA0,Grand Funk Railroad
AR52EZT1187B9900BF,Alicia Keys
AR6001N1187B9A8632,Tina Turner
AR8RXRI1187FB4104B,The Roots
ARAPRD01187FB52527,Booka Shade
ARBJ5U71187FB52A76,Buddy Holly
ARBM57Q1187B9AF97C,James Horner
AREW0081187FB3831D,Elmer Bernstein
AREZWXB1187FB4958E,Brooks & Dunn
ARFSVL51187B9B00F2,Meshuggah
ARG1UAO1187FB55E50,Sammi Cheng
ARHO1WI1187B98CB84,Michael Card
ARJA5XT1187B9B89AA,David Tao
ARN837E1187B9B0D6A,Rick Ross
ARNSYEO1187B9B8945,XTC
AROZ8ZW1187B989A67,Blue Oyster Cult
ARQMYTM1187FB4678C,Josh White
ARS4KT21187B9B9438,Fito Paez
ARV3CRH1187B9A1B21,Green Day
ARW0Z9V1187B9A0699,Peter Tosh
ARWA8AH1187FB3FC84,Hot Chip
AR3RM471187B999A35,Hugh Masekela
ARANOZN1187B9B373E,Descendents
ARBJQTM1187B9B862B,Cocteau Twins
ARDW3YJ1187FB4CCE5,Athlete
ARFEZRN1187FB3E182,Stanley Turrentine
ARFZNR41187B990AF7,Sunnyland Slim
ARGP3GD1187B999801,Tony Martin
ARJHWXB1187FB42C78,Jeff Foxworthy
ARJUNZD1187B9A5DAE,Herb Alpert And The Tijuana Brass
ARMG9NK1187B99155A,Fairport Convention
ARML3X41187FB35F2E,Jason Mraz
ARMYMUD1187B9B018E,The Wolfgang Press
ARNBV1X1187B996249,Alex
ARNMWP51187FB3E963,Curtis Mayfield
AROT7JE1187FB3EAC5,Incognito
ARR6MOS1187B994C51,Mando Diao
ARRAAOJ1187B9B487F,Gerald Albright
ARROQSO1187B9AEB80,Talking Heads
ARUG48S1187B9BA142,Yo La Tengo
ARV5O111187B9A3F3A,Carl Davis
ARX49E01187B9B6DF0,Chalino Sanchez
ARZ9FGC1187B98B47D,The Zombies
ARULHT261XXXXXXXXX,English Chamber Orchestra
ARULHT1061XXXXXXXX,Thelonious Monk
AR0569B1187B9A4036,Mike Bloomfield
AR05OG01187B9B8A98,Todd Rundgren
AR065TW1187FB4C3A5,Tricky
AR2NNNS1187B9B7C6F,CANDLEMASS
AR7X9TB1187FB4DAD4,Jim Lauderdale
AR828WL1187FB47E81,M
ARCBIJY1187FB597E4,Lena Horne
ARDTIOA1187B99E779,Cloud Cult
AREWAAS1187B98C490,Robert Johnson
ARGHBVV1187FB4D57A,Ryan Adams
ARGMYYN122BCFCB297,Frankie Valli & The Four Seasons
ARGS47D1187FB40225,Peter And Gordon
ARHG53Q1187B9ACBFC,Alias
ARLIIVS1187FB5583B,Philip Glass
ARMD3XX1187B9ACF84,Cypress Hill
ARMS7SO1187B991B21,Bud Powell
ARQT9SA1187B9AD3C7,Steely Dan
ARQTNP51187FB598D7,Oscar Peterson
ARSOQF31187B9B1471,Japan
ARTH2D01187B98D865,Everclear
ARTL6FB1187FB4EAA7,Kool Keith
ARV03D41187FB413E8,Smokey Robinson & The Miracles
ARYN6H41187B98AA0F,Michael Martin Murphey
AR0JPOG1187FB37383,Lyrics Born
AR1JGQT1187FB56878,Jo-El Sonnier
AR21X5F1187FB380A5,DESTRUCTION
AR3752L1187FB4B67E,The Real Kids
AR5Z3L01187B99C5A9,Cannibal Corpse
AR6SPRZ1187FB4958B,Wilco
AREJTEI1252CCFA0D3,Bill Engvall
ARFQFJD1187B9B0554,Memphis Slim
ARGKD4W1187B990E04,Brenda Lee
ARGPFYP1187B98F5CB,The Highwaymen
ARH3DGV1187FB3D086,Antonio Aguilar
ARHPGAD1187B9AE791,Fluke
ARIMZQZ1187B9AD541,Thrice
ARIWB161187B9AA1D5,Simon & Garfunkel
ARKN9J11187B9B210D,DJ Clue
ARLMXEA1187B9A7D04,R. Kelly
ARMK4631187FB5CE4A,Larry Norman
ARMYKRB1187B98CFF0,Cowboy Mouth
ARNVMMG1187B98BFEB,Craig Chaquico
ARPXDY61187B9AD0A8,Clannad
ARSL3O71187B9B644A,Michael Feinstein
ARSNV1C1187B98FC55,Pieces Of A Dream
ARTJECM1187B9930BA,Art Tatum
ARU1LDO1187B9B19D2,KATAKLYSM
ARUIHX41187B98BE59,The Doobie Brothers
ARVG4OK1187B9B6BD3,The Killers
ARW9QSZ1187FB4B93E,George Harrison
ARZ96PB1187B98F5C9,Jars Of Clay
ARULHT241XXXXXXXXX,Brad Paisley
ARULHT541XXXXXXXXX,Doris Day
AR050VJ1187B9B13A7,Dead Kennedys
AR0N8D61187FB3D0D6,Kaizers Orchestra
AR1W1D41187B9A5A19,Original Broadway Cast
AR2F1JC1187FB4EFB0,Luna
AR3NHIA1187B9AC99B,My Life With The Thrill Kill Kult
AR62EDZ1187B9AC433,Primus
AR71RV81187B9A3A46,The Turtles
AR7V5TD1187B9A69D2,David Lee Garza
AR8FMEN1187FB4A657,Lizzy Borden
AR9W3X91187FB3994C,Phil Collins
ARAH4TU1187FB51D28,Bill Laswell
ARB0WNP1187B9AC4AB,Samy Deluxe
ARC1OPS1187FB4348C,The Impressions
ARC6J781187B98F02B,Tania Maria
ARCXKY91187B9ACA99,Diana Krall
ARD9UVF1187B9B17FE,Brian Wilson
ARDE7I31187FB43352,Gonzalo Rubalcaba
ARDG9Z71187B997023,Public Image Ltd
ARE08BN1187B98FCA3,Der Plan
ARF3XJD1187FB38DE0,Cristy Lane
ARHD3RX1187FB3A7DA,Steel Pulse
ARKYI5T1187B99334F,Janet Paschal
ARM7EDF1187B9B3FA1,Guns N' Roses
ARNLVQB1187B9AEAB0,Steve Miller Band
ARO1U6V1187B9ACE9D,Bernard Herrmann
AROIHOI122988FEB8E,Mario Rosenstock
ARSZDTJ11F43A69EBA,The Monkees
ART70HI1187B9A37BC,Elmore James
ARXBG1X1187FB42A79,Allen Toussaint
ARXOTQH1187FB57084,Chris Brown
ARYCP7D1187B99516B,Pat Travers
ARYD3GD1187FB38B08,Mose Allison
ARULHT433XXXXXXXXX,Ice Cube
ARULHT564XXXXXXXXX,Sarah McLachlan
AR02YGA1187B9B8AC4,Bersuit Vergarabat
AR0KBXO1187B996460,Slipknot
AR0QL3J1187FB3748E,Clara Nunes
AR0QS8F1187B9ADC96,Sandy Lam
AR1BQ6Y1187B98D586,Jorge Drexler
AR2AI391187FB3C53D,Gangsta Pat
AR2WOOQ1187B98E303,Idlewild
AR3ZQLW1187B992D15,Steve Goodman
AR6AJHY1187B996626,Smokie Norful
AR74Q3R1187B9B24C3,Nightwish
AR8QX4Z1187B98CB75,Carcass
AR9AM2N1187B9AD2F1,Inspiral Carpets
AR9XPQF1187FB5A693,The Mystic Moods Orchestra
AR9YQN31187FB45B34,James Darren
ARA7WV51187FB532B0,GG Allin
ARAEHFY1187FB4CEF2,Laurie Anderson
ARAZCWP129462A97F1,Bob Marley & The Wailers
ARB45GQ1187B98D2B4,DeGarmo & Key
ARCHBQY1187B99F8E4,Third Day
ARCKOJF1241B9C75B4,Eddie Sierra
ARCL4CA1187B9B9904,El Piporro
ARCVMYS12454A51E6E,The Sun Harbor's Chorus-Documentary Recordings
ARD1X7Y1187B9A671F,Soulfly
ARD5QQA1187FB3CAF0,Dr. John
ARDF6RM1187FB5A409,Martin Denny
ARDHGJX1187FB59C0B,Kirk Whalum
ARDNS031187B9924F0,Tim Wilson
ARDZT5Q1187B9BA468,Red Garland
ARE26EG1187B990AEF,Sunscreem
AREPD8D1187FB3F5BC,Sister Hazel
ARFNKDR1187B9B19CF,Big Joe Williams
ARGE7G11187FB37E05,Cyndi Lauper
ARGSAFR1269FB35070,Blingtones
ARGTQ221187B990917,Stan Whitmire
ARH0NCL1187B99B41A,Quadro Nuevo
ARHRY5S1187B99B96F,Static-X
ARI38ZY1187B9B6C9C,Adam Sandler
ARIGI7G1187B9A6D83,Jimmy LaFave
ARIRNUG1187B9B0D8D,Riot
ARJ3TAF1187FB4AAB1,David & Steve Gordon
ARJMJIY1187FB5ABE5,Rod Lee
ARJRQL51187FB541AB,Juan Carlos Baglietto
ARJY2XG1187FB3D6E6,Karrin Allyson
ARLSF8H1187B9A76B0,Dimmu Borgir
ARM401Y1187FB5B7C7,Mickey Gilley
ARM9RJ51187B9B10DA,Tankard
ARMS97V1187B99DD98,Josh Rouse
ARMZ6AM1187FB44B92,Annihilator
AROVU6Z1187B9AE74E,The Corrs
ARPPTNG11F50C482A3,Mercedes Castro
ARQVLRE1187FB46F1D,Dallas Symphony Orchestra
ARR5XTD1187FB3C6BE,Aimee Mann
ARS0NZ31187B9AF7E9,Leandro and Leonardo
ARS6N3S1187B98BE70,Wilkins
ARSHA481187B9ACD16,Moloko
ARTO3L81187B9ACA8C,Jeff Buckley
ARU1MVY1187FB37B73,Brainstorm
ARUUP4L1187B9B72EB,Diamanda Galas
ARUUXNF1187B98FB36,Charlie Peacock
ARVEJ9M1187FB4DC44,Les Ogres De Barback
ARWAPYC1187FB3FCAF,S.U.P
ARWDDHA1187FB3A745,EDGUY
